SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
040,53,000,00000,00000,00000,0,A,Washington,Washington,6724540,6724540,6742902,6821655,6892876,6962906,7052439,7163543,7294680,7425432,7535591
162,53,000,00100,00000,00000,0,A,Aberdeen city,Washington,16896,16884,16880,16704,16530,16317,16212,16217,16280,16431,16654
162,53,000,00905,00000,00000,0,A,Airway Heights city,Washington,6114,7540,7562,7735,7780,7849,7937,8050,8098,8164,9200
162,53,000,01010,00000,00000,0,A,Albion town,Washington,579,590,590,595,600,597,595,600,608,615,613
162,53,000,01290,00000,00000,0,A,Algona city,Washington,3014,3014,3038,3071,3114,3133,3162,3183,3208,3208,3223
162,53,000,01500,00000,00000,0,A,Almira town,Washington,284,284,284,280,276,273,271,272,270,276,278
162,53,000,01990,00000,00000,0,A,Anacortes city,Washington,15778,15767,15764,15850,15875,15952,16183,16388,16664,17002,17283
162,53,000,02585,00000,00000,0,A,Arlington city,Washington,17926,17940,17986,18039,18278,18600,18745,18863,19079,19241,19803
162,53,000,03075,00000,00000,0,A,Asotin city,Washington,1251,1245,1252,1266,1265,1278,1282,1277,1285,1295,1294
162,53,000,03180,00000,00000,0,A,Auburn city,Washington,70180,70164,70423,71645,73390,74848,76139,77409,78660,81275,81905
162,53,000,03736,00000,00000,0,A,Bainbridge Island city,Washington,23025,23025,23062,23163,23177,23024,23138,23624,24165,24545,24846
162,53,000,04475,00000,00000,0,A,Battle Ground city,Washington,17571,17778,17840,17973,18072,18323,18912,19286,20029,20566,20949
162,53,000,04895,00000,00000,0,A,Beaux Arts Village town,Washington,299,299,300,304,307,317,322,323,326,329,327
162,53,000,05210,00000,00000,0,A,Bellevue city,Washington,122363,127885,128358,130271,132194,133823,136445,139918,141927,145451,147599
162,53,000,05280,00000,00000,0,A,Bellingham city,Washington,80885,81252,81344,81896,82347,82638,83440,85063,87038,89139,90665
162,53,000,05560,00000,00000,0,A,Benton City city,Washington,3038,3032,3054,3111,3145,3168,3211,3257,3303,3372,3440
162,53,000,06085,00000,00000,0,A,Bingen city,Washington,712,712,713,718,721,724,717,718,719,729,737
162,53,000,06330,00000,00000,0,A,Black Diamond city,Washington,4151,4151,4166,4218,4283,4325,4370,4419,4448,4469,4477
162,53,000,06505,00000,00000,0,A,Blaine city,Washington,4684,4694,4710,4782,4823,4893,4965,5034,5139,5309,5436
162,53,000,07170,00000,00000,0,A,Bonney Lake city,Washington,17374,17592,17616,17930,18156,18456,18950,20056,20485,20892,21092
162,53,000,07380,00000,00000,0,A,Bothell city,Washington,33505,39868,39994,40689,41349,42487,43606,44320,44818,45760,46657
162,53,000,07695,00000,00000,0,A,Bremerton city,Washington,37729,37876,37931,39288,39285,38279,38548,39956,40536,40919,41235
162,53,000,07835,00000,00000,0,A,Brewster city,Washington,2370,2369,2373,2368,2357,2353,2357,2350,2346,2351,2364
162,53,000,07870,00000,00000,0,A,Bridgeport city,Washington,2409,2409,2411,2405,2432,2435,2455,2484,2540,2568,2589
162,53,000,07940,00000,00000,0,A,Brier city,Washington,6087,6276,6287,6309,6423,6509,6591,6708,6814,6905,6978
162,53,000,08570,00000,00000,0,A,Buckley city,Washington,4354,4344,4345,4379,4408,4420,4487,4522,4656,4816,4944
162,53,000,08605,00000,00000,0,A,Bucoda town,Washington,562,562,562,564,564,566,567,569,578,582,589
162,53,000,08850,00000,00000,0,A,Burien city,Washington,33313,48081,48225,48813,49553,49962,50364,50720,51435,52050,51908
162,53,000,08920,00000,00000,0,A,Burlington city,Washington,8388,8377,8402,8430,8410,8403,8474,8577,8719,8808,9124
162,53,000,09480,00000,00000,0,A,Camas city,Washington,19355,19821,19916,20466,20842,21144,21395,22006,22586,23315,23845
162,53,000,09970,00000,00000,0,A,Carbonado town,Washington,610,608,607,610,612,612,624,629,666,701,714
162,53,000,10215,00000,00000,0,A,Carnation city,Washington,1786,1786,1791,1813,1834,1845,1856,1876,2006,2178,2234
162,53,000,10495,00000,00000,0,A,Cashmere city,Washington,3063,3116,3124,3135,3138,3131,3115,3137,3152,3148,3157
162,53,000,10565,00000,00000,0,A,Castle Rock city,Washington,1982,2117,2119,2130,2111,2122,2131,2174,2205,2233,2271
162,53,000,10635,00000,00000,0,A,Cathlamet town,Washington,532,534,535,532,531,534,534,530,545,557,567
162,53,000,11160,00000,00000,0,A,Centralia city,Washington,16336,16629,16664,16808,16727,16621,16569,16641,16859,17234,17495
162,53,000,11475,00000,00000,0,A,Chehalis city,Washington,7259,7262,7258,7261,7268,7208,7198,7296,7398,7532,7633
162,53,000,11615,00000,00000,0,A,Chelan city,Washington,3890,3874,3888,3910,3910,3917,3928,3998,4063,4135,4222
162,53,000,11825,00000,00000,0,A,Cheney city,Washington,10590,10592,10730,10671,10995,11188,11336,11463,12152,12439,12403
162,53,000,12140,00000,00000,0,A,Chewelah city,Washington,2607,2603,2601,2596,2596,2574,2582,2582,2613,2637,2665
162,53,000,12630,00000,00000,0,A,Clarkston city,Washington,7229,7232,7260,7323,7292,7352,7355,7313,7344,7399,7407
162,53,000,12945,00000,00000,0,A,Cle Elum city,Washington,1872,1874,1874,1894,1892,1890,1891,1905,1963,1993,2004
162,53,000,13365,00000,00000,0,A,Clyde Hill city,Washington,2984,2988,2997,3046,3111,3153,3204,3241,3290,3342,3384
162,53,000,13785,00000,00000,0,A,Colfax city,Washington,2805,2796,2794,2815,2844,2836,2820,2859,2889,2916,2911
162,53,000,13855,00000,00000,0,A,College Place city,Washington,8765,8787,8816,8857,8888,8950,8950,9000,9096,9288,9358
162,53,000,13890,00000,00000,0,A,Colton town,Washington,418,429,431,437,442,439,438,450,460,469,467
162,53,000,14170,00000,00000,0,A,Colville city,Washington,4673,4731,4720,4714,4711,4677,4718,4720,4765,4798,4831
162,53,000,14310,00000,00000,0,A,Conconully town,Washington,210,203,203,204,204,204,205,206,207,208,210
162,53,000,14380,00000,00000,0,A,Concrete town,Washington,705,705,704,707,705,702,708,714,724,731,737
162,53,000,14485,00000,00000,0,A,Connell city,Washington,4209,4210,4238,5211,5413,5399,5405,5458,5428,5538,5566
162,53,000,14870,00000,00000,0,A,Cosmopolis city,Washington,1649,1656,1656,1641,1623,1604,1594,1597,1603,1621,1647
162,53,000,15080,00000,00000,0,A,Coulee City town,Washington,562,562,564,570,572,570,573,573,573,571,572
162,53,000,15115,00000,00000,0,A,Coulee Dam town,Washington,1098,1098,1099,1097,1088,1082,1082,1080,1080,1082,1084
162,53,000,15185,00000,00000,0,A,Coupeville town,Washington,1831,1831,1835,1864,1859,1842,1848,1871,1904,1930,1959
162,53,000,15290,00000,00000,0,A,Covington city,Washington,17575,17565,17628,17971,18359,18860,19160,20053,20763,21063,21202
162,53,000,15710,00000,00000,0,A,Creston town,Washington,236,236,236,233,230,226,223,223,223,226,228
162,53,000,16340,00000,00000,0,A,Cusick town,Washington,207,209,208,209,210,207,209,211,212,217,220
162,53,000,16690,00000,00000,0,A,Darrington town,Washington,1347,1347,1349,1355,1361,1369,1373,1381,1397,1411,1420
162,53,000,16795,00000,00000,0,A,Davenport city,Washington,1734,1734,1736,1733,1722,1695,1675,1679,1679,1708,1724
162,53,000,16970,00000,00000,0,A,Dayton city,Washington,2526,2534,2543,2486,2469,2482,2463,2443,2446,2469,2489
162,53,000,17320,00000,00000,0,A,Deer Park city,Washington,3652,3661,3670,3676,3711,3780,3855,3938,3991,4079,4245
162,53,000,17635,00000,00000,0,A,Des Moines city,Washington,29673,29654,29743,30091,30485,30700,31063,31314,31379,31463,32364
162,53,000,18965,00000,00000,0,A,DuPont city,Washington,8199,8199,8257,8546,8765,9165,9213,9261,9404,9486,9503
162,53,000,19035,00000,00000,0,A,Duvall city,Washington,6695,6713,6744,6874,7209,7480,7663,7711,7770,7870,8061
162,53,000,20155,00000,00000,0,A,East Wenatchee city,Washington,13190,13179,13208,13204,13343,13357,13416,13565,13894,14060,14168
162,53,000,20260,00000,00000,0,A,Eatonville town,Washington,2758,2756,2753,2783,2801,2802,2855,2895,2957,2992,3025
162,53,000,20645,00000,00000,0,A,Edgewood city,Washington,9387,9379,9370,9436,9468,9523,9673,9762,10659,11207,11654
